12:39:32 MH:Number of processors on the system: 2
12:39:32 MH:Configured as RealTime Process!!!
12:39:32 MH:Opened UTM coords file

12:39:32 MH:USB DA initialisation complete!!!
12:39:32 MH:TCP/IP DA initialisation complete!!!
12:39:32 MH:Device Initialization complete!!!
12:39:32 MH:PHINS initialized and data consistent!!!
12:39:33 MH:Pressure sensor data consistent!!!
12:39:34 MH:FLS device level configuration done!!!
12:39:34 MH:Sensor initialisation and data check complete!!!
12:39:34 MH:Mission file opened succesfully
12:39:34 MH:Ready to send post-launching information: Altimetry and Position to Surface!!!
12:39:34 MH:Mission ready to be started!!!
12:39:57 CO:Mission Time: 30 Reference Depth: 81
12:42:45 MH:Mission shall commence within 7 minutes!!!

12:49:45 MH:Mission started!!!

12:49:45 MH:Diving initiated
12:49:45 MH:Diving in progress
12:49:46 MH:Diving in progress
12:49:47 MH:Diving in progress
12:49:48 MH:Diving in progress
12:49:49 MH:Diving in progress
12:49:50 MH:Diving in progress
12:49:51 MH:Diving in progress
12:49:52 MH:Diving in progress
12:49:53 MH:Diving in progress
12:49:54 MH:Diving in progress
12:49:55 MH:Diving in progress
12:49:56 MH:Diving in progress
12:49:57 MH:Diving in progress
12:49:58 MH:Diving in progress
12:49:59 MH:Diving in progress
12:50:00 MH:Diving in progress
12:50:01 MH:Diving in progress
12:50:02 MH:Diving in progress
12:50:03 MH:Diving in progress
12:50:04 MH:Diving in progress
12:50:05 MH:Diving in progress
12:50:06 MH:Diving in progress
12:50:07 MH:Diving in progress
12:50:08 MH:Diving in progress
12:50:09 MH:Diving in progress
12:50:10 MH:Diving in progress
12:50:11 MH:Diving in progress
12:50:12 MH:Diving in progress
12:50:13 MH:Diving in progress
12:50:14 MH:Diving in progress
12:50:15 MH:Diving in progress
12:50:16 MH:Diving in progress
12:50:17 MH:Diving in progress
12:50:18 MH:Diving in progress
12:50:19 MH:Diving in progress
12:50:20 MH:Diving in progress
12:50:21 MH:Diving in progress
12:50:22 MH:Diving in progress
12:50:23 MH:Diving in progress
12:50:24 MH:Diving in progress
12:50:25 MH:Diving in progress
12:50:26 MH:Diving in progress
12:50:27 MH:Diving in progress
12:50:28 MH:Diving in progress
12:50:29 MH:Diving in progress
12:50:30 MH:Diving in progress
12:50:31 MH:Diving in progress
12:50:32 MH:Diving in progress
12:50:33 MH:Diving in progress
12:50:34 MH:Diving in progress
12:50:35 MH:Diving in progress
12:50:36 MH:Diving in progress
12:50:37 MH:Diving in progress
12:50:38 MH:Diving in progress
12:50:39 MH:Diving in progress
12:50:40 MH:Diving in progress
12:50:41 MH:Diving in progress
12:50:42 MH:Diving in progress
12:50:43 MH:Diving in progress
12:50:44 MH:Diving in progress
12:50:45 MH:Diving in progress
12:50:46 MH:Diving in progress
12:50:47 MH:Diving in progress
12:50:48 MH:Diving in progress
12:50:49 MH:Diving in progress
